"Timestamp","Test Subject ID","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]","What trailer have you watched?","How much do you like the video? [I give ...]","Did you see the trailer or movie before this experiment?","If you haven't seen the video/movie before, would you like to see the whole movie in the future?","How do you feel after watching the video? [Interest - you liked the video and felt curious about it.]","How do you feel after watching the video? [Stress (Frustration) - you felt overwhelmed, had negative impression.]","How do you feel after watching the video? [Engagement - you were highly immersed in what was happening in the video.]","How do you feel after watching the video? [Focus - you didn't switch to thinking about other things while watching.]","How do you feel after watching the video? [Relaxation (Meditation) - you felt calm wasn't nervous about anything.]"
"2017/05/19 11:27:28 am EET","2","Suicide squad","2 Stars","No","No","Disagree","Strongly disagree","Neutral","Agree","Agree","Love is all you need?","3 Stars","No","Yes","Neutral","Disagree","Agree","Agree","Agree","Going in Style","3 Stars","No","Yes","Agree","Strongly disagree","Neutral","Disagree","Strongly agree","Wolves","5 Stars (excellent)","No","Yes","Strongly agree","Disagree","Agree","Strongly agree","Agree","Ouija","3 Stars","No","Yes","Agree","Agree","Strongly agree","Agree","Strongly disagree","Lights out","4 Stars","No","Yes","Agree","Strongly agree","Agree","Agree","Strongly disagree"
"2017/05/22 8:39:46 am EET","1","Going in Style","3 Stars","Yes","Yes","Strongly agree","Strongly disagree","Agree","Agree","Disagree","Suicide squad","5 Stars (excellent)","Yes","Yes","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Ouija","2 Stars","Yes","No","Disagree","Strongly agree","Agree","Neutral","Strongly disagree","Love is all you need?","2 Stars","Yes","Not sure","Disagree","Neutral","Neutral","Neutral","Disagree","Lights out","1 Star (bad)","Yes","No","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Wolves","3 Stars","Yes","Not sure","Neutral","Neutral","Disagree","Neutral","Neutral"
"2017/05/22 11:39:14 am EET","3","Love is all you need?","3 Stars","No","No","Agree","Neutral","Neutral","Disagree","Neutral","Wolves","4 Stars","No","Yes","Strongly agree","Disagree","Agree","Agree","Disagree","Suicide squad","3 Stars","No","No","Neutral","Neutral","Disagree","Neutral","Neutral","Lights out","2 Stars","No","No","Disagree","Agree","Disagree","Neutral","Disagree","Going in Style","3 Stars","No","Yes","Agree","Disagree","Neutral","Agree","Neutral","Ouija","3 Stars","No","No","Agree","Disagree","Neutral","Neutral","Disagree"
"2017/05/22 12:31:35 pm EET","5","Lights out","4 Stars","Yes","Yes","Strongly agree","Disagree","Strongly agree","Agree","Neutral","Ouija","3 Stars","No","No","Neutral","Neutral","Agree","Agree","Disagree","Wolves","4 Stars","No","Not sure","Agree","Disagree","Neutral","Agree","Agree","Going in Style","5 Stars (excellent)","No","Yes","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Love is all you need?","3 Stars","No","No","Disagree","Neutral","Disagree","Agree","Agree","Suicide squad","4 Stars","Yes","Yes","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree"
"2017/05/22 1:00:34 pm EET","6","Ouija","3 Stars","No","Not sure","Disagree","Neutral","Strongly disagree","Strongly disagree","Disagree","Going in Style","4 Stars","No","Yes","Strongly agree","Disagree","Agree","Strongly agree","Agree","Lights out","4 Stars","No","Yes","Agree","Agree","Agree","Strongly agree","Disagree","Suicide squad","3 Stars","No","No","Disagree","Neutral","Neutral","Strongly disagree","Neutral","Wolves","2 Stars","No","No","Disagree","Strongly disagree","Agree","Disagree","Neutral","Love is all you need?","4 Stars","No","Not sure","Agree","Neutral","Agree","Agree","Disagree"
"2017/05/22 1:30:32 pm EET","7","Going in Style","5 Stars (excellent)","Yes","Yes","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Suicide squad","3 Stars","No","No","Neutral","Agree","Agree","Strongly agree","Disagree","Ouija","1 Star (bad)","No","No","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Love is all you need?","4 Stars","No","Yes","Strongly agree","Disagree","Strongly agree","Strongly agree","Neutral","Lights out","1 Star (bad)","No","No","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Wolves","3 Stars","No","Not sure","Neutral","Agree","Strongly agree","Agree","Neutral"
"2017/05/22 1:58:24 pm EET","8","Suicide squad","4 Stars","No","Not sure","Agree","Disagree","Agree","Neutral","Disagree","Love is all you need?","5 Stars (excellent)","No","Yes","Agree","Neutral","Agree","Agree","Neutral","Going in Style","4 Stars","No","Yes","Agree","Disagree","Neutral","Agree","Neutral","Wolves","5 Stars (excellent)","No","Yes","Strongly agree","Neutral","Neutral","Strongly agree","Agree","Ouija","5 Stars (excellent)","Yes","Yes","Strongly agree","Agree","Agree","Strongly agree","Disagree","Lights out","5 Stars (excellent)","Yes","Yes","Strongly agree","Agree","Agree","Agree","Disagree"
"2017/05/22 3:18:27 pm EET","4","Wolves","1 Star (bad)","No","No","Strongly disagree","Neutral","Disagree","Neutral","Neutral","Lights out","2 Stars","No","No","Agree","Agree","Neutral","Neutral","Neutral","Love is all you need?","1 Star (bad)","No","No","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Ouija","3 Stars","Yes","Not sure","Neutral","Disagree","Agree","Neutral","Neutral","Suicide squad","3 Stars","Yes","No","Disagree","Disagree","Strongly disagree","Neutral","Neutral","Going in Style","4 Stars","No","Yes","Agree","Strongly disagree","Neutral","Neutral","Neutral"
"2017/05/22 4:39:35 pm EET","9","Love is all you need?","2 Stars","No","No","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Wolves","2 Stars","No","No","Disagree","Strongly disagree","Neutral","Neutral","Neutral","Suicide squad","3 Stars","Yes","Not sure","Disagree","Neutral","Disagree","Neutral","Agree","Lights out","2 Stars","No","No","Disagree","Agree","Neutral","Neutral","Disagree","Going in Style","1 Star (bad)","No","No","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Ouija","2 Stars","No","No","Disagree","Agree","Neutral","Agree","Disagree"
"2017/05/23 11:42:03 am EET","11","Lights out","3 Stars","Yes","","Neutral","Agree","Neutral","Disagree","Disagree","Ouija","3 Stars","No","No","Neutral","Disagree","Neutral","Agree","Agree","Wolves","4 Stars","No","Yes","Agree","Disagree","Agree","Agree","Agree","Going in Style","5 Stars (excellent)","No","Yes","Agree","Disagree","Agree","Disagree","Agree","Love is all you need?","4 Stars","No","Yes","Strongly agree","Disagree","Strongly agree","Agree","Disagree","Suicide squad","4 Stars","No","Yes","Agree","Disagree","Disagree","Disagree","Agree"
"2017/05/24 3:09:29 pm EET","14","Suicide squad","4 Stars","Not sure","Yes","Agree","Strongly disagree","Neutral","Neutral","Disagree","Love is all you need?","3 Stars","No","No","Neutral","Disagree","Neutral","Disagree","Neutral","Going in Style","4 Stars","No","Yes","Agree","Disagree","Neutral","Disagree","Neutral","Wolves","3 Stars","No","No","Agree","Disagree","Neutral","Disagree","Neutral","Ouija","2 Stars","No","No","Disagree","Disagree","Neutral","Disagree","Neutral","Lights out","4 Stars","No","No","Agree","Neutral","Agree","Neutral","Disagree"
